id,username,password,type
1,aliahmed,password1,3
2,ayeshajaved,password2,3
3,bilalakhtar,password3,3
4,sadiaafzal,password4,3
5,saadiqbal,password5,3
6,miraalhassan,password6,3
7,minsafatima,password7,3
8,eshaalkhan,password8,3
9,sanakhan,password9,3
10,mustabshirakhan,password10,3
11,janumurshad,password11,3
12,buntykashif,password12,3
13,toxickhokhar,password13,3
14,bilalsain,password14,3
15,hamzasahi,password15,3
16,abdullahchaudhary,password16,3
17,minharehman,password17,3
18,bilaldawood,password18,3
19,fizaahmed,password19,3
20,zainabirfan,password20,3
21,umarabdullah,password21,3
22,saadgillani,password22,3
23,farkhandajabeen,password23,3
24,shahidaparveen,password24,3
25,dawoodbhattti,password25,3
26,zainabfarooq,password26,3
27,mahnoorsahi,password27,3
28,saratalha,password28,3
29,meerabkhan,password29,3
30,zainsheikh,password30,3
31,salmasheikh,password31,3
32,murtasimkhan,password32,3
33, zohrabegum,password33,3
34,sarasheikh,password34,3
35,amnabatool,password35,3
36,wasaychaudhary,password36,3
37,talhazainab,password37,3
38,nidahashir,password38,3
39,mahnoorabdullah,password39,3
40,zainabalikhan,password40,3
41,bilalqureshi,password41,3
42,saimaali,password42,3
43,fahadali,password43,3
44,sanapalak,password44,3
45,waqarkhan,password45,3
46,hinaali,password46,3
47,usmanimran,password47,3
48,mariamali,password48,3
49,shahidanwar,password49,3
50,naziagondal,password50,3
51,farhanismail,password51,2
52,rabiayounas,password52,2
53,yasirkhan,password53,2
54,alikamran,password54,2
55,ayeshakhan,password55,2
56,muhammadahmed,password56,2
57,fatimaali,password57,2
58,alikhan,password58,2
59,zainabahmed,password59,2
60,hassanali,password60,2
61,mahamfarooq,password61,1
62,usmanmalik,password62,1
63,sabaahmed,password63,1
64,ahmedhassan,password64,1
65,samiaahmed,password65,1
66,imrankhan,password66,1
67,farhanali,password67,1
68,maryamkhan,password68,1
69,bilalahmed,password69,1
70,hirakhan,password70,1
