Student_Id,UserName,Student_Name,Section,Semester,Degree,Batch,Campus,DOB,Blood,Gender,CNIC,Emails,Mobile_No,Address,Home_Contact,Guardian_Name
1,aliahmed,Ali Ahmed,A,1,CS,22,Islamabad,15/07/1991,A+,M,4852365252525,aliahmed@gmail.com,03339167909,"House no 1,street 4,DHA Phase 1,Rawalpindi",03339167909,Ahmed
2,ayeshajaved,Ayesha Javed,A,3,CS,21,Islamabad,20/10/1992,A+,F,4852365252526,ayeshajaved@gmail.com,03339167910,"House no 2,street 4,DHA Phase 1,Rawalpindi",03339167910,Javed
3,bilalakhtar,Bilal Akhtar,A,3,CS,20,Islamabad,24/06/1998,B-,M,4852365252527,bilalakhtar@gmail.com,03339167911,"House no 3,street 4,DHA Phase 1,Rawalpindi",03339167911,Akhtar
4,sadiaafzal,Sadia Afzal,A,7,CS,19,Islamabad,29/07/1994,O+,F,4852365252528,sadiaafzal@gmail.com,03339167912,"House no 4,street 4,DHA Phase 1,Rawalpindi",03339167912,Afzal
5,saadiqbal,Saad Iqbal,A,1,CS,22,Islamabad,22/05/2001,O+,M,4852365252529,saadiqbal@gmail.com,03339167913,"House no 5,street 4,DHA Phase 1,Rawalpindi",03339167913,Iqbal
6,miraalhassan,Miraal Hassan,A,3,CS,21,Islamabad,12/02/2001,O-,F,4852365252530,miraalhassan@gmail.com,03339167914,"House no 6,street 4,DHA Phase 1,Rawalpindi",03339167914,Hassan
7,minsafatima,Minsa Fatima,A,5,CS,20,Islamabad,04/10/2003,B+,F,4852365252531,minsafatima@gmail.com,03339167915,"House no 7,street 4,DHA Phase 1,Rawalpindi",03339167915,Fatima
8,eshaalkhan,Eshaal Khan,A,7,CS,19,Islamabad,01/11/1992,A+,F,4852365252532,eshaalkhan@gmail.com,03339167916,"House no 8,street 4,DHA Phase 1,Rawalpindi",03339167916,Ahmed
9,sanakhan,Sana Khan,A,1,CS,22,Islamabad,08/01/1998,A+,F,4852365252533,sanakhan@gmail.com,03339167917,"House no 9,street 4,DHA Phase 1,Rawalpindi",03339167917,Ahmed
10,mustabshirakhan,Mustabshira Khan,A,3,CS,21,Islamabad,28/08/1998,B-,F,4852365252534,mustabshirakhan@gmail.com,03339167918,"House no 10,street 4,DHA Phase 1,Rawalpindi",03339167918,Ahmed
11,janumurshad,Janu Murshad,A,5,CS,20,Islamabad,03/08/2003,O+,F,4852365252535,janumurshad@gmail.com,03339167919,"House no 11,street 4,DHA Phase 1,Rawalpindi",03339167919,Murshad
12,buntykashif,Bunty Kashif,A,7,CS,19,Islamabad,29/06/1994,O+,M,4852365252536,buntykashif@gmail.com,03339167920,"House no 12,street 4,DHA Phase 1,Rawalpindi",03339167920,Kashif
13,toxickhokhar,Toxic Khokhar,A,1,CS,22,Islamabad,15/03/1993,O-,M,4852365252537,toxickhokhar@gmail.com,03339167921,"House no 13,street 4,DHA Phase 1,Rawalpindi",03339167921,Kamran
14,bilalsain,Bilal Sain,A,3,CS,21,Islamabad,03/04/1995,B+,M,4852365252538,bilalsain@gmail.com,03339167922,"House no 14,street 4,DHA Phase 1,Rawalpindi",03339167922,Sain
15,hamzasahi,Hamza Sahi,A,5,CS,20,Islamabad,05/01/2001,A+,M,4852365252539,hamzasahi@gmail.com,03339167923,"House no 15,street 4,DHA Phase 1,Rawalpindi",03339167923,Ahmed
16,abdullahchaudhary,Abdullah Chaudhary,A,7,CS,19,Islamabad,25/10/1997,A+,M,4852365252540,abdullahchaudhary@gmail.com,03339167924,"House no 16,street 4,DHA Phase 1,Rawalpindi",03339167924,Dildar
17,minharehman,Minha Rehman,A,1,CS,22,Islamabad,01/05/2002,B-,F,4852365252541,minharehman@gmail.com,03339167925,"House no 17,street 4,DHA Phase 1,Rawalpindi",03339167925,Rehman
18,bilaldawood,Bilal Dawood,A,3,CS,21,Islamabad,14/02/1988,O+,M,4852365252542,bilaldawood@gmail.com,03339167926,"House no 18,street 4,DHA Phase 1,Rawalpindi",03339167926,Dawood
19,fizaahmed,Fiza Ahmed,A,5,CS,20,Islamabad,24/01/2002,O+,F,4852365252543,fizaahmed@gmail.com,3339167927,"House no 19,street 4,DHA Phase 1,Rawalpindi",3339167927,Ahmed
20,zainabirfan,Zainab Irfan,A,7,CS,19,Islamabad,28/02/2000,O-,F,4852365252544,zainabirfan@gmail.com,03339167928,"House no 20,street 4,DHA Phase 1,Rawalpindi",03339167928,Irfan
21,umarabdullah,Umar Abdullah,A,1,CS,22,Islamabad,28/02/1994,B+,M,4852365252545,umarabdullah@gmail.com,03339167929,"House no 21,street 4,DHA Phase 1,Rawalpindi",03339167929,Abdullah
22,saadgillani,Saad Gillani,A,3,CS,21,Islamabad,15/04/2003,A+,M,4852365252546,saadgillani@gmail.com,03339167930,"House no 22,street 4,DHA Phase 1,Rawalpindi",03339167930,Nabani
23,farkhandajabeen,Farkhanda Jabeen,A,5,CS,20,Islamabad,28/01/2000,A+,F,4852365252547,farkhandajabeen@gmail.com,03339167931,"House no 23,street 4,DHA Phase 1,Rawalpindi",03339167931,Jabeen
24,shahidaparveen,Shahida Parveen,A,7,CS,19,Islamabad,06/11/2001,B-,F,4852365252548,shahidaparveen@gmail.com,03339167932,"House no 24,street 4,DHA Phase 1,Rawalpindi",03339167932,Mobin
25,dawoodbhattti,Dawood Bhattti,A,1,CS,22,Islamabad,02/01/1997,O+,M,4852365252549,dawoodbhattti@gmail.com,03339167933,"House no 25,street 4,DHA Phase 1,Rawalpindi",03339167933,Farooq
26,zainabfarooq,Zainab Farooq,A,3,CS,21,Islamabad,20/03/1995,O+,F,4852365252550,zainabfarooq@gmail.com,03339167934,"House no 26,street 4,DHA Phase 1,Rawalpindi",03339167934,Farooq
27,mahnoorsahi,Mahnoor Sahi,A,5,CS,20,Islamabad,09/08/1999,O-,F,4852365252551,mahnoorsahi@gmail.com,03339167935,"House no 27,street 4,DHA Phase 1,Rawalpindi",03339167935,Ahmed
28,saratalha,Sara Talha,A,7,CS,19,Islamabad,06/01/2001,B+,F,4852365252552,saratalha@gmail.com,03339167936,"House no 28,street 4,DHA Phase 1,Rawalpindi",03339167936,Talha
29,meerabkhan,Meerab Khan,A,1,CS,22,Islamabad,29/04/1999,A+,F,4852365252553,meerabkhan@gmail.com,03339167937,"House no 29,street 4,DHA Phase 1,Rawalpindi",03339167937,Ahmed
30,zainsheikh,Zain Sheikh,A,3,CS,21,Islamabad,11/01/1990,A+,M,4852365252554,zainsheikh@gmail.com,03339167938,"House no 30,street 4,DHA Phase 1,Rawalpindi",03339167938,Ali
31,salmasheikh,Salma Sheikh,A,5,CS,20,Islamabad,22/12/1983,B-,F,4852365252555,salmasheikh@gmail.com,03339167939,"House no 31,street 4,DHA Phase 1,Rawalpindi",03339167939,Ahmed
32,murtasimkhan,Murtasim Khan,A,7,CS,19,Islamabad,09/04/2000,O+,M,4852365252556,murtasimkhan@gmail.com,03339167940,"House no 32,street 4,DHA Phase 1,Rawalpindi",03339167940,Iqbal
33, zohrabegum, Zohra Begum,A,1,CS,22,Islamabad,13/11/2005,O+,F,4852365252557, zohrabegum@gmail.com,03339167941,"House no 33,street 4,DHA Phase 1,Rawalpindi",03339167941,Ali
34,sarasheikh,Sara Sheikh,A,3,CS,21,Islamabad,30/05/1995,O-,F,4852365252558,sarasheikh@gmail.com,03339167942,"House no 34,street 4,DHA Phase 1,Rawalpindi",03339167942,Zain
35,amnabatool,Amna Batool,A,5,CS,20,Islamabad,03/08/1990,B+,F,4852365252559,amnabatool@gmail.com,03339167943,"House no 35,street 4,DHA Phase 1,Rawalpindi",03339167943,Ikram
36,wasaychaudhary,Wasay Chaudhary,A,7,CS,19,Islamabad,30/07/1993,A+,M,4852365252560,wasaychaudhary@gmail.com,03339167944,"House no 36,street 4,DHA Phase 1,Rawalpindi",03339167944,Maqbool
37,talhazainab,Talha Zainab,A,1,CS,22,Islamabad,03/01/2004,A+,M,4852365252561,talhazainab@gmail.com,03339167945,"House no 37,street 4,DHA Phase 1,Rawalpindi",03339167945,Hussain
38,nidahashir,Nida Hashir,A,3,CS,21,Islamabad,08/03/1990,B-,F,4852365252562,nidahashir@gmail.com,03339167946,"House no 38,street 4,DHA Phase 1,Rawalpindi",03339167946,Hashir
39,mahnoorabdullah,Mahnoor Abdullah,A,5,CS,20,Islamabad,31/08/2000,O+,F,4852365252563,mahnoorabdullah@gmail.com,03339167947,"House no 39,street 4,DHA Phase 1,Rawalpindi",03339167947,Abdullah
40,zainabalikhan,Zainab Ali Khan,A,7,CS,19,Islamabad,09/04/1990,O+,F,4852365252564,zainabalikhan@gmail.com,03339167948,"House no 40,street 4,DHA Phase 1,Rawalpindi",03339167948,Ali Khan
41,bilalqureshi,Bilal Qureshi,A,1,CS,22,Islamabad,13/07/2003,O-,M,4852365252565,bilalqureshi@gmail.com,03339167949,"House no 41,street 4,DHA Phase 1,Rawalpindi",03339167949,Sajid
42,saimaali,Saima Ali,A,3,CS,21,Islamabad,26/03/1996,B+,F,4852365252566,saimaali@gmail.com,03339167950,"House no 42,street 4,DHA Phase 1,Rawalpindi",03339167950,Murtaza
43,fahadali,Fahad Ali,A,5,CS,20,Islamabad,04/06/1998,A+,M,4852365252567,fahadali@gmail.com,03339167951,"House no 43,street 4,DHA Phase 1,Rawalpindi",03339167951,Ali
